slice_path,target,volume,slice
/content/data/volume_41_slice_0.h5,0,41,0
/content/data/volume_41_slice_1.h5,0,41,1
/content/data/volume_41_slice_2.h5,0,41,2
/content/data/volume_41_slice_3.h5,0,41,3
/content/data/volume_41_slice_4.h5,0,41,4
/content/data/volume_41_slice_5.h5,0,41,5
/content/data/volume_41_slice_6.h5,0,41,6
/content/data/volume_41_slice_7.h5,0,41,7
/content/data/volume_41_slice_8.h5,0,41,8
/content/data/volume_41_slice_9.h5,0,41,9
/content/data/volume_41_slice_10.h5,0,41,10
/content/data/volume_41_slice_11.h5,0,41,11
/content/data/volume_41_slice_12.h5,0,41,12
/content/data/volume_41_slice_13.h5,0,41,13
/content/data/volume_41_slice_14.h5,0,41,14
/content/data/volume_41_slice_15.h5,0,41,15
/content/data/volume_41_slice_16.h5,0,41,16
/content/data/volume_41_slice_17.h5,0,41,17
/content/data/volume_41_slice_18.h5,0,41,18
/content/data/volume_41_slice_19.h5,0,41,19
/content/data/volume_41_slice_20.h5,0,41,20
/content/data/volume_41_slice_21.h5,0,41,21
/content/data/volume_41_slice_22.h5,0,41,22
/content/data/volume_41_slice_23.h5,0,41,23
/content/data/volume_41_slice_24.h5,0,41,24
/content/data/volume_41_slice_25.h5,1,41,25
/content/data/volume_41_slice_26.h5,1,41,26
/content/data/volume_41_slice_27.h5,1,41,27
/content/data/volume_41_slice_28.h5,1,41,28
/content/data/volume_41_slice_29.h5,1,41,29
/content/data/volume_41_slice_30.h5,1,41,30
/content/data/volume_41_slice_31.h5,1,41,31
/content/data/volume_41_slice_32.h5,1,41,32
/content/data/volume_41_slice_33.h5,1,41,33
/content/data/volume_41_slice_34.h5,1,41,34
/content/data/volume_41_slice_35.h5,1,41,35
/content/data/volume_41_slice_36.h5,1,41,36
/content/data/volume_41_slice_37.h5,1,41,37
/content/data/volume_41_slice_38.h5,1,41,38
/content/data/volume_41_slice_39.h5,1,41,39
/content/data/volume_41_slice_40.h5,1,41,40
/content/data/volume_41_slice_41.h5,1,41,41
/content/data/volume_41_slice_42.h5,1,41,42
/content/data/volume_41_slice_43.h5,1,41,43
/content/data/volume_41_slice_44.h5,1,41,44
/content/data/volume_41_slice_45.h5,1,41,45
/content/data/volume_41_slice_46.h5,1,41,46
/content/data/volume_41_slice_47.h5,1,41,47
/content/data/volume_41_slice_48.h5,1,41,48
/content/data/volume_41_slice_49.h5,1,41,49
/content/data/volume_41_slice_50.h5,1,41,50
/content/data/volume_41_slice_51.h5,1,41,51
/content/data/volume_41_slice_52.h5,1,41,52
/content/data/volume_41_slice_53.h5,1,41,53
/content/data/volume_41_slice_54.h5,1,41,54
/content/data/volume_41_slice_55.h5,1,41,55
/content/data/volume_41_slice_56.h5,1,41,56
/content/data/volume_41_slice_57.h5,1,41,57
/content/data/volume_41_slice_58.h5,1,41,58
/content/data/volume_41_slice_59.h5,1,41,59
/content/data/volume_41_slice_60.h5,1,41,60
/content/data/volume_41_slice_61.h5,1,41,61
/content/data/volume_41_slice_62.h5,1,41,62
/content/data/volume_41_slice_63.h5,1,41,63
/content/data/volume_41_slice_64.h5,1,41,64
/content/data/volume_41_slice_65.h5,1,41,65
/content/data/volume_41_slice_66.h5,1,41,66
/content/data/volume_41_slice_67.h5,1,41,67
/content/data/volume_41_slice_68.h5,1,41,68
/content/data/volume_41_slice_69.h5,1,41,69
/content/data/volume_41_slice_70.h5,1,41,70
/content/data/volume_41_slice_71.h5,1,41,71
/content/data/volume_41_slice_72.h5,1,41,72
/content/data/volume_41_slice_73.h5,1,41,73
/content/data/volume_41_slice_74.h5,1,41,74
/content/data/volume_41_slice_75.h5,1,41,75
/content/data/volume_41_slice_76.h5,1,41,76
/content/data/volume_41_slice_77.h5,1,41,77
/content/data/volume_41_slice_78.h5,1,41,78
/content/data/volume_41_slice_79.h5,1,41,79
/content/data/volume_41_slice_80.h5,1,41,80
/content/data/volume_41_slice_81.h5,1,41,81
/content/data/volume_41_slice_82.h5,1,41,82
/content/data/volume_41_slice_83.h5,1,41,83
/content/data/volume_41_slice_84.h5,1,41,84
/content/data/volume_41_slice_85.h5,1,41,85
/content/data/volume_41_slice_86.h5,1,41,86
/content/data/volume_41_slice_87.h5,1,41,87
/content/data/volume_41_slice_88.h5,1,41,88
/content/data/volume_41_slice_89.h5,1,41,89
/content/data/volume_41_slice_90.h5,1,41,90
/content/data/volume_41_slice_91.h5,1,41,91
/content/data/volume_41_slice_92.h5,1,41,92
/content/data/volume_41_slice_93.h5,1,41,93
/content/data/volume_41_slice_94.h5,1,41,94
/content/data/volume_41_slice_95.h5,1,41,95
/content/data/volume_41_slice_96.h5,1,41,96
/content/data/volume_41_slice_97.h5,1,41,97
/content/data/volume_41_slice_98.h5,1,41,98
/content/data/volume_41_slice_99.h5,1,41,99
/content/data/volume_41_slice_100.h5,1,41,100
/content/data/volume_41_slice_101.h5,1,41,101
/content/data/volume_41_slice_102.h5,1,41,102
/content/data/volume_41_slice_103.h5,1,41,103
/content/data/volume_41_slice_104.h5,1,41,104
/content/data/volume_41_slice_105.h5,1,41,105
/content/data/volume_41_slice_106.h5,1,41,106
/content/data/volume_41_slice_107.h5,1,41,107
/content/data/volume_41_slice_108.h5,0,41,108
/content/data/volume_41_slice_109.h5,0,41,109
/content/data/volume_41_slice_110.h5,0,41,110
/content/data/volume_41_slice_111.h5,0,41,111
/content/data/volume_41_slice_112.h5,0,41,112
